observation_id,factor_b,region,ordinal_band,prior_events,rare_event
CRE-001,level_a,south,medium,1,0
CRE-002,level_a,south,low,0,0
CRE-003,level_a,west,medium,1,0
CRE-004,level_a,south,low,0,0
CRE-005,level_a,east,medium,0,0
CRE-006,level_a,east,medium,1,0
CRE-007,level_a,north,high,1,0
CRE-008,level_b,north,low,0,0
CRE-009,level_a,south,medium,0,1
CRE-010,level_a,south,low,3,0
CRE-011,level_b,north,medium,2,0
CRE-012,level_a,west,high,3,0
CRE-013,level_a,east,low,1,0
CRE-014,level_a,west,low,1,0
CRE-015,level_b,north,high,4,0
CRE-016,level_b,south,medium,0,0
CRE-017,level_a,west,medium,1,0
CRE-018,level_a,east,high,4,0
CRE-019,level_a,east,high,0,0
CRE-020,level_a,south,high,4,0
CRE-021,level_b,west,medium,2,0
CRE-022,level_b,north,high,2,0
CRE-023,level_b,east,low,1,0
CRE-024,level_a,south,low,1,0
CRE-025,level_a,south,high,1,0
CRE-026,level_a,east,high,2,0
CRE-027,level_a,north,high,2,0
CRE-028,level_b,west,high,1,1
CRE-029,level_b,north,low,0,0
CRE-030,level_a,west,low,0,0
CRE-031,level_b,west,high,4,0
CRE-032,level_b,north,medium,2,0
CRE-033,level_a,south,high,3,0
CRE-034,level_a,north,medium,0,0
CRE-035,level_a,east,high,1,0
CRE-036,level_a,south,medium,0,0
CRE-037,level_a,west,low,0,0
CRE-038,level_b,south,medium,0,0
CRE-039,level_a,south,low,1,0
CRE-040,level_b,south,high,1,0
CRE-041,level_a,south,medium,0,0
CRE-042,level_b,north,low,0,0
CRE-043,level_a,south,medium,3,0
CRE-044,level_a,west,high,1,0
CRE-045,level_a,south,medium,3,1
CRE-046,level_a,south,low,0,0
CRE-047,level_b,north,high,5,0
CRE-048,level_a,south,medium,3,0
CRE-049,level_b,west,medium,3,0
CRE-050,level_a,east,high,2,0
CRE-051,level_a,south,medium,0,0
CRE-052,level_a,west,high,2,0
CRE-053,level_a,east,high,1,0
CRE-054,level_b,north,medium,0,1
CRE-055,level_a,north,medium,1,0
CRE-056,level_a,south,medium,0,0
CRE-057,level_b,west,medium,1,0
CRE-058,level_b,north,high,0,0
CRE-059,level_a,east,low,0,0
CRE-060,level_b,north,medium,1,0
CRE-061,level_a,south,medium,1,0
CRE-062,level_a,south,low,2,1
CRE-063,level_b,north,high,1,1
CRE-064,level_a,north,low,0,0
CRE-065,level_a,south,medium,2,0
CRE-066,level_a,south,medium,3,0
CRE-067,level_a,south,medium,2,0
CRE-068,level_b,east,medium,2,0
CRE-069,level_b,north,high,3,0
CRE-070,level_b,south,low,0,1
CRE-071,level_a,west,high,2,0
CRE-072,level_a,north,medium,0,0
CRE-073,level_b,east,high,1,0
CRE-074,level_a,south,medium,3,0
CRE-075,level_b,north,low,0,0
CRE-076,level_a,north,medium,2,0
CRE-077,level_a,west,medium,1,0
CRE-078,level_b,north,medium,2,1
CRE-079,level_b,north,high,2,0
CRE-080,level_b,east,low,2,0
CRE-081,level_a,south,medium,0,0
CRE-082,level_a,south,low,0,0
CRE-083,level_a,south,high,4,0
CRE-084,level_b,west,high,0,0
CRE-085,level_a,south,medium,0,0
CRE-086,level_a,south,medium,2,0
CRE-087,level_a,east,high,2,0
CRE-088,level_b,north,low,0,0
CRE-089,level_a,south,medium,0,0
CRE-090,level_a,south,medium,2,0
CRE-091,level_a,east,high,1,0
CRE-092,level_b,north,high,2,0
CRE-093,level_a,east,medium,1,0
CRE-094,level_b,north,high,4,0
CRE-095,level_a,north,medium,3,0
CRE-096,level_a,south,medium,1,1
CRE-097,level_a,south,low,0,0
CRE-098,level_a,east,medium,1,0
CRE-099,level_a,south,low,0,0
CRE-100,level_a,north,high,5,0
CRE-101,level_b,west,medium,3,0
CRE-102,level_a,east,low,1,0
CRE-103,level_b,north,low,0,0
CRE-104,level_a,south,low,0,0
CRE-105,level_b,north,high,1,0
CRE-106,level_a,south,medium,0,0
CRE-107,level_a,south,medium,0,0
CRE-108,level_a,north,high,3,0
CRE-109,level_a,west,high,1,0
CRE-110,level_b,west,high,1,0
CRE-111,level_a,south,low,1,0
CRE-112,level_a,west,high,4,0
CRE-113,level_b,west,low,0,0
CRE-114,level_b,north,high,3,0
CRE-115,level_b,north,high,3,0
CRE-116,level_a,west,medium,1,0
CRE-117,level_b,north,low,1,0
CRE-118,level_a,east,low,0,0
CRE-119,level_a,south,high,4,0
CRE-120,level_a,south,low,0,0
CRE-121,level_a,east,medium,2,0
CRE-122,level_b,north,high,1,0
CRE-123,level_b,north,low,0,0
CRE-124,level_a,east,high,4,0
CRE-125,level_a,south,high,3,0
CRE-126,level_a,west,high,1,0
CRE-127,level_b,north,medium,2,0
CRE-128,level_a,west,medium,1,0
CRE-129,level_a,east,medium,1,0
CRE-130,level_b,north,medium,0,0
CRE-131,level_b,north,low,0,0
CRE-132,level_a,south,high,1,0
CRE-133,level_a,south,high,3,0
CRE-134,level_a,south,high,4,1
CRE-135,level_a,east,low,0,0
CRE-136,level_a,west,high,0,0
CRE-137,level_b,west,low,0,0
CRE-138,level_b,north,medium,2,0
CRE-139,level_a,east,high,5,0
CRE-140,level_b,north,high,3,0
CRE-141,level_a,south,high,2,0
CRE-142,level_a,south,medium,1,0
CRE-143,level_b,north,medium,1,0
CRE-144,level_b,south,high,4,0
CRE-145,level_a,west,low,1,0
CRE-146,level_b,north,high,2,0
CRE-147,level_a,west,low,1,0
CRE-148,level_b,south,low,0,0
CRE-149,level_a,south,medium,1,0
CRE-150,level_a,south,low,0,0
CRE-151,level_a,north,high,0,1
CRE-152,level_b,north,high,2,0
CRE-153,level_a,west,low,1,0
CRE-154,level_a,west,high,3,0
CRE-155,level_a,west,high,4,0
CRE-156,level_b,north,medium,3,0
CRE-157,level_a,north,medium,1,0
CRE-158,level_a,south,low,0,0
CRE-159,level_a,south,medium,0,0
CRE-160,level_b,north,medium,1,0
CRE-161,level_a,east,high,1,0
CRE-162,level_b,south,medium,1,0
CRE-163,level_a,south,medium,0,0
CRE-164,level_b,north,medium,1,0
CRE-165,level_b,north,high,2,0
CRE-166,level_b,west,medium,2,0
CRE-167,level_b,east,high,2,0
CRE-168,level_a,south,low,0,0
CRE-169,level_b,north,high,2,0
CRE-170,level_b,east,low,0,0
CRE-171,level_b,north,high,6,0
CRE-172,level_a,south,medium,1,0
CRE-173,level_b,east,high,1,0
CRE-174,level_b,east,medium,1,0
CRE-175,level_a,south,medium,3,0
CRE-176,level_b,north,medium,0,0
CRE-177,level_a,east,low,0,0
CRE-178,level_a,south,medium,1,0
CRE-179,level_b,north,low,0,0
CRE-180,level_b,west,medium,2,0
CRE-181,level_a,south,low,0,0
CRE-182,level_a,south,medium,0,0
CRE-183,level_a,south,medium,0,0
CRE-184,level_a,south,low,0,0
CRE-185,level_b,west,medium,1,0
CRE-186,level_a,north,low,0,0
CRE-187,level_b,north,high,1,0
CRE-188,level_b,east,high,5,0
CRE-189,level_a,south,medium,0,0
CRE-190,level_a,north,high,3,0
CRE-191,level_b,north,high,4,0
CRE-192,level_a,south,low,0,0
CRE-193,level_a,south,high,0,0
CRE-194,level_b,north,high,6,0
CRE-195,level_a,east,medium,0,0
CRE-196,level_a,north,high,5,0
CRE-197,level_a,south,medium,0,0
CRE-198,level_a,south,high,2,0
CRE-199,level_b,west,low,0,0
CRE-200,level_b,north,medium,1,0
CRE-201,level_a,west,medium,0,0
CRE-202,level_b,north,low,0,0
CRE-203,level_b,south,low,0,0
CRE-204,level_a,south,medium,2,0
CRE-205,level_b,east,high,4,0
CRE-206,level_b,east,low,0,0
CRE-207,level_b,north,high,2,0
CRE-208,level_b,north,high,0,0
CRE-209,level_b,west,medium,1,0
CRE-210,level_a,south,medium,0,0
CRE-211,level_b,west,medium,2,0
CRE-212,level_b,north,high,3,0
CRE-213,level_b,east,high,1,0
CRE-214,level_a,south,low,0,0
CRE-215,level_b,north,medium,0,0
CRE-216,level_a,south,medium,0,0
CRE-217,level_b,south,low,0,0
CRE-218,level_a,north,medium,0,0
CRE-219,level_a,south,medium,1,0
CRE-220,level_a,east,high,5,0
CRE-221,level_b,north,high,1,0
CRE-222,level_a,west,low,4,0
CRE-223,level_b,south,low,0,0
CRE-224,level_a,north,medium,0,0
CRE-225,level_b,north,medium,2,0
CRE-226,level_b,north,low,0,0
CRE-227,level_b,south,low,0,0
CRE-228,level_a,east,low,0,0
CRE-229,level_a,south,medium,1,0
CRE-230,level_a,north,high,1,0
CRE-231,level_a,north,high,2,0
CRE-232,level_a,north,high,1,0
CRE-233,level_b,north,high,1,0
CRE-234,level_b,north,low,0,1
CRE-235,level_b,west,high,1,0
CRE-236,level_b,north,low,0,0
CRE-237,level_b,south,high,4,0
CRE-238,level_b,north,high,5,0
CRE-239,level_b,north,high,1,0
CRE-240,level_b,west,high,3,0
CRE-241,level_a,north,low,0,0
CRE-242,level_b,east,medium,1,0
CRE-243,level_a,south,medium,0,0
CRE-244,level_a,south,low,1,0
CRE-245,level_a,south,low,0,0
CRE-246,level_b,south,low,0,0
CRE-247,level_a,south,high,3,0
CRE-248,level_a,north,medium,1,0
CRE-249,level_b,north,high,1,0
CRE-250,level_a,north,medium,1,1
CRE-251,level_a,east,low,0,0
CRE-252,level_a,east,low,1,0
CRE-253,level_a,south,high,0,1
CRE-254,level_b,north,medium,0,0
CRE-255,level_a,west,low,0,0
CRE-256,level_b,north,high,2,0
CRE-257,level_a,south,low,0,0
CRE-258,level_a,east,medium,0,0
CRE-259,level_a,north,low,0,0
CRE-260,level_a,east,low,1,0
