observation_id,batch,x_value,y_value,measurement_sd_hint
NH-001,B,4.733,10.723,1.841
NH-002,B,5.506,11.079,2.011
NH-003,A,2.970,11.255,1.453
NH-004,B,6.092,8.110,2.140
NH-005,B,5.960,9.275,2.111
NH-006,C,9.448,4.676,2.879
NH-007,B,6.828,10.157,2.302
NH-008,C,9.696,13.949,2.933
NH-009,B,7.331,11.982,2.413
NH-010,B,5.487,6.342,2.007
NH-011,B,7.342,9.762,2.415
NH-012,C,8.384,5.785,2.645
NH-013,B,6.738,8.003,2.282
NH-014,B,5.908,11.977,2.100
NH-015,C,11.295,0.371,3.285
NH-016,C,10.614,3.512,3.135
NH-017,A,1.839,12.954,1.205
NH-018,B,5.175,12.007,1.938
NH-019,B,5.250,8.622,1.955
NH-020,A,0.422,10.277,0.893
NH-021,C,9.807,8.526,2.958
NH-022,A,0.711,11.268,0.956
NH-023,B,6.708,7.467,2.276
NH-024,A,0.760,-0.569,0.967
NH-025,A,1.346,13.448,1.096
NH-026,A,3.836,11.698,1.644
NH-027,A,1.304,11.249,1.087
NH-028,B,5.006,10.008,1.901
NH-029,C,9.035,9.309,2.788
NH-030,A,0.842,11.813,0.985
NH-031,C,8.550,9.321,2.681
NH-032,B,7.199,10.865,2.384
NH-033,B,6.618,6.888,2.256
NH-034,A,3.941,8.541,1.667
NH-035,C,10.951,9.120,3.209
NH-036,C,10.429,9.129,3.094
NH-037,B,6.500,9.877,2.230
NH-038,C,8.188,12.399,2.601
NH-039,B,6.322,7.934,2.191
NH-040,A,0.039,7.659,0.809
NH-041,C,11.519,6.424,3.334
NH-042,C,10.373,4.936,3.082
NH-043,C,10.584,11.085,3.129
NH-044,A,3.946,12.739,1.668
NH-045,B,7.172,11.750,2.378
NH-046,B,5.116,9.153,1.925
NH-047,C,8.019,12.410,2.564
NH-048,B,7.879,14.212,2.533
NH-049,B,4.410,6.811,1.770
NH-050,C,10.216,6.260,3.047
NH-051,A,0.921,10.566,1.003
NH-052,A,1.018,13.279,1.024
NH-053,C,11.556,-4.143,3.342
NH-054,C,9.245,15.537,2.834
NH-055,B,7.329,14.775,2.412
NH-056,C,10.604,8.212,3.133
NH-057,A,0.992,10.814,1.018
NH-058,B,7.865,9.246,2.530
NH-059,C,9.895,14.530,2.977
NH-060,A,2.956,12.896,1.450
NH-061,A,1.451,10.935,1.119
NH-062,A,3.634,11.255,1.600
NH-063,B,5.430,10.246,1.995
NH-064,C,9.122,12.393,2.807
NH-065,B,5.880,10.219,2.094
NH-066,B,5.815,13.273,2.079
NH-067,B,4.488,10.846,1.787
NH-068,A,2.993,12.994,1.458
NH-069,A,1.986,11.432,1.237
NH-070,A,3.071,13.659,1.476
NH-071,B,5.319,6.979,1.970
NH-072,C,8.369,15.910,2.641
NH-073,A,2.642,13.266,1.381
NH-074,B,6.519,11.564,2.234
NH-075,B,7.209,11.180,2.386
NH-076,C,11.870,4.976,3.411
NH-077,C,9.021,13.910,2.785
NH-078,B,6.123,9.656,2.147
NH-079,A,0.871,20.300,0.992
NH-080,B,7.522,9.028,2.455
NH-081,A,3.593,12.074,1.591
NH-082,B,7.624,11.868,2.477
NH-083,B,6.591,13.272,2.250
NH-084,B,4.244,9.440,1.734
NH-085,C,11.063,3.090,3.234
NH-086,A,1.357,12.623,1.099
NH-087,C,9.518,13.165,2.894
NH-088,C,8.891,10.696,2.756
NH-089,B,4.676,7.205,1.829
NH-090,B,5.042,8.348,1.909
NH-091,C,10.725,4.673,3.160
NH-092,A,1.366,12.569,1.101
NH-093,A,0.468,9.921,0.903
NH-094,C,9.075,12.062,2.797
NH-095,B,7.341,13.173,2.415
NH-096,A,2.442,14.374,1.337
NH-097,A,0.342,10.387,0.875
NH-098,C,10.358,10.173,3.079
NH-099,B,4.728,7.599,1.840
NH-100,B,6.680,10.567,2.270
NH-101,C,8.027,15.444,2.566
NH-102,C,9.089,6.402,2.800
NH-103,C,10.688,-3.255,3.151
NH-104,B,4.904,10.241,1.879
NH-105,B,7.811,14.223,2.518
NH-106,A,0.693,10.480,0.953
NH-107,C,10.370,8.732,3.081
NH-108,C,10.599,8.997,3.132
NH-109,A,3.741,12.276,1.623
NH-110,A,0.809,10.631,0.978
NH-111,B,4.574,6.275,1.806
NH-112,B,4.132,8.966,1.709
NH-113,B,5.030,8.675,1.907
NH-114,A,3.369,9.636,1.541
NH-115,C,9.102,11.366,2.802
NH-116,A,1.548,12.940,1.141
NH-117,C,9.883,9.011,2.974
NH-118,B,6.114,2.539,2.145
NH-119,A,1.162,9.530,1.056
NH-120,A,0.412,8.869,0.891
NH-121,B,7.002,13.100,2.340
NH-122,A,2.427,13.173,1.334
NH-123,A,2.675,17.135,1.388
NH-124,B,4.252,7.967,1.735
NH-125,A,0.464,10.450,0.902
NH-126,A,0.620,10.961,0.936
NH-127,A,2.768,12.594,1.409
NH-128,C,8.381,11.473,2.644
NH-129,A,2.368,12.784,1.321
NH-130,A,2.333,13.002,1.313
NH-131,C,8.119,10.577,2.586
NH-132,B,6.794,11.335,2.295
NH-133,A,3.620,11.609,1.596
NH-134,B,6.929,9.236,2.324
NH-135,B,5.839,5.124,2.085
NH-136,B,6.394,9.911,2.207
NH-137,C,8.071,17.373,2.576
NH-138,A,3.508,13.946,1.572
NH-139,B,7.013,11.002,2.343
NH-140,C,9.122,13.456,2.807
NH-141,B,4.369,8.710,1.761
NH-142,C,9.775,10.594,2.951
NH-143,A,1.454,19.835,1.120
NH-144,B,5.897,11.619,2.097
NH-145,C,10.338,4.007,3.074
NH-146,A,2.697,12.415,1.393
NH-147,B,7.457,12.764,2.441
NH-148,C,10.054,8.959,3.012
NH-149,C,8.326,10.487,2.632
NH-150,C,10.479,4.573,3.105
NH-151,C,9.985,10.518,2.997
NH-152,C,10.264,5.578,3.058
NH-153,B,6.987,8.086,2.337
NH-154,C,9.210,13.403,2.826
NH-155,A,1.244,11.740,1.074
NH-156,C,8.006,10.332,2.561
NH-157,C,8.274,14.258,2.620
NH-158,B,6.404,9.679,2.209
NH-159,A,1.013,12.456,1.023
NH-160,C,10.669,-1.984,3.147
